epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
41,12511.4,0.83781,0.79001,1.30717,0.92556,0.90797,0.95381,0.7676,0.76205,0.50418,1.38747,0.00604,0.00604,0.00604
42,12817.7,0.83125,0.78166,1.29934,0.92604,0.90921,0.95435,0.76836,0.7599,0.50111,1.38501,0.005941,0.005941,0.005941
43,13123.3,0.83001,0.77848,1.29785,0.92672,0.91002,0.95491,0.76948,0.75825,0.49831,1.38321,0.005842,0.005842,0.005842
44,13427.8,0.824,0.77151,1.29417,0.92735,0.9095,0.95512,0.77061,0.75615,0.49578,1.38106,0.005743,0.005743,0.005743
45,13730.3,0.824,0.76727,1.29302,0.92802,0.91002,0.95535,0.7716,0.75449,0.4927,1.37928,0.005644,0.005644,0.005644
46,14034.1,0.82471,0.76786,1.29144,0.92908,0.91073,0.95546,0.77291,0.75237,0.49004,1.37688,0.005545,0.005545,0.005545
47,14336.8,0.81665,0.75599,1.28856,0.93104,0.91089,0.95602,0.77396,0.75018,0.48714,1.37446,0.005446,0.005446,0.005446
48,14638.4,0.80789,0.74316,1.28196,0.93153,0.91096,0.95651,0.77514,0.74826,0.48449,1.37225,0.005347,0.005347,0.005347
49,14940.7,0.8184,0.74977,1.28766,0.93106,0.91209,0.95691,0.77646,0.74637,0.48135,1.37015,0.005248,0.005248,0.005248
50,15244,0.81181,0.74965,1.28418,0.93183,0.91183,0.9573,0.77782,0.74401,0.47854,1.36786,0.005149,0.005149,0.005149
51,15549.1,0.81143,0.74096,1.28216,0.93158,0.91351,0.95779,0.77845,0.74196,0.47612,1.36573,0.00505,0.00505,0.00505
52,15855.2,0.80817,0.74131,1.27894,0.93183,0.91422,0.95829,0.77964,0.73984,0.47347,1.36343,0.004951,0.004951,0.004951
53,16159.3,0.80172,0.73051,1.27479,0.93247,0.91532,0.95865,0.7811,0.73791,0.4709,1.36136,0.004852,0.004852,0.004852
54,16464.4,0.80025,0.72297,1.27183,0.93191,0.91585,0.95895,0.78186,0.73588,0.46837,1.35916,0.004753,0.004753,0.004753
55,16769,0.79348,0.72132,1.26938,0.93153,0.91682,0.95965,0.78316,0.73416,0.46611,1.35725,0.004654,0.004654,0.004654
56,17071.2,0.79547,0.72169,1.268,0.93144,0.919,0.96006,0.78407,0.73228,0.46349,1.35534,0.004555,0.004555,0.004555
57,17374.9,0.79027,0.71378,1.26563,0.9314,0.92026,0.96037,0.78529,0.73042,0.46103,1.35315,0.004456,0.004456,0.004456
58,17679.8,0.78631,0.71014,1.2625,0.93262,0.92029,0.96096,0.78705,0.7287,0.45865,1.35124,0.004357,0.004357,0.004357
59,17983.5,0.78241,0.69945,1.25915,0.93363,0.92144,0.96141,0.78794,0.72677,0.45597,1.34919,0.004258,0.004258,0.004258
60,18288.2,0.78278,0.6996,1.26153,0.9362,0.91893,0.96171,0.78911,0.72489,0.45343,1.34708,0.004159,0.004159,0.004159
61,18593.8,0.78244,0.69525,1.25977,0.93744,0.91907,0.96215,0.79047,0.72319,0.45097,1.34523,0.00406,0.00406,0.00406
62,18896.1,0.77526,0.69004,1.25498,0.93915,0.91827,0.96237,0.79128,0.72147,0.44857,1.34347,0.003961,0.003961,0.003961
63,19200.6,0.77229,0.68094,1.25127,0.94097,0.91843,0.96282,0.79284,0.71973,0.44654,1.3416,0.003862,0.003862,0.003862
64,19507.4,0.76766,0.68156,1.24959,0.94204,0.91936,0.96341,0.79383,0.71769,0.44434,1.33945,0.003763,0.003763,0.003763
65,19814.9,0.77356,0.68576,1.25031,0.94238,0.91928,0.96379,0.79473,0.71551,0.44197,1.33736,0.003664,0.003664,0.003664
66,20119.6,0.76868,0.68124,1.24881,0.94324,0.91873,0.96413,0.79581,0.71346,0.43947,1.33523,0.003565,0.003565,0.003565
67,20425.5,0.76129,0.66817,1.24318,0.94311,0.91996,0.96434,0.79688,0.71165,0.43728,1.33335,0.003466,0.003466,0.003466
68,20733.5,0.75497,0.66549,1.23985,0.94218,0.92188,0.96486,0.79774,0.70955,0.43533,1.33115,0.003367,0.003367,0.003367
69,21041,0.76257,0.66599,1.24261,0.94326,0.92199,0.96523,0.79899,0.70755,0.43301,1.32902,0.003268,0.003268,0.003268
70,21345.4,0.75583,0.66313,1.23898,0.94498,0.92176,0.96555,0.79981,0.70552,0.43057,1.32695,0.003169,0.003169,0.003169
71,21652.2,0.7494,0.65539,1.23659,0.94494,0.92254,0.96585,0.80115,0.7034,0.42844,1.32488,0.00307,0.00307,0.00307
72,21957.2,0.74651,0.64444,1.23319,0.94313,0.92495,0.96628,0.8024,0.70122,0.42642,1.32276,0.002971,0.002971,0.002971
73,22259.9,0.74735,0.64481,1.23335,0.9458,0.92469,0.96678,0.8032,0.69929,0.42434,1.32094,0.002872,0.002872,0.002872
74,22563.4,0.73915,0.64493,1.23125,0.94674,0.92492,0.96706,0.80413,0.69738,0.42225,1.31894,0.002773,0.002773,0.002773
75,22867.4,0.74052,0.63938,1.22699,0.94535,0.92758,0.96753,0.80501,0.69555,0.4201,1.31705,0.002674,0.002674,0.002674
76,23170.6,0.73929,0.63707,1.22605,0.94677,0.92686,0.96768,0.80644,0.6936,0.41802,1.31498,0.002575,0.002575,0.002575
77,23474.2,0.73299,0.63044,1.22505,0.94848,0.92754,0.96803,0.80776,0.69173,0.41622,1.31312,0.002476,0.002476,0.002476
78,23776.6,0.73166,0.62168,1.21981,0.94967,0.92726,0.9683,0.80863,0.6898,0.41434,1.31128,0.002377,0.002377,0.002377
79,24084.5,0.73076,0.62396,1.22158,0.95075,0.92764,0.96879,0.80939,0.68775,0.41246,1.3092,0.002278,0.002278,0.002278
80,24395.9,0.72197,0.61297,1.21615,0.94927,0.93038,0.96907,0.81036,0.686,0.41043,1.30738,0.002179,0.002179,0.002179
81,24708.1,0.72376,0.61851,1.21604,0.94981,0.93129,0.96934,0.81137,0.68433,0.40837,1.30556,0.00208,0.00208,0.00208
82,25019.2,0.72084,0.60611,1.21396,0.95077,0.93173,0.96967,0.81188,0.68263,0.40652,1.30387,0.001981,0.001981,0.001981
83,25329.6,0.71637,0.60396,1.21081,0.95098,0.93226,0.96985,0.81289,0.68084,0.40485,1.30205,0.001882,0.001882,0.001882
84,25641.7,0.71262,0.5997,1.20738,0.95231,0.93223,0.97013,0.81369,0.67881,0.40319,1.30011,0.001783,0.001783,0.001783
85,25955.3,0.70798,0.59107,1.20534,0.95159,0.93432,0.97063,0.81462,0.67711,0.40153,1.2984,0.001684,0.001684,0.001684
86,26268.6,0.71088,0.59654,1.20515,0.95206,0.93511,0.97074,0.81529,0.67522,0.39977,1.29654,0.001585,0.001585,0.001585
87,26581.8,0.70076,0.58534,1.20165,0.95318,0.93521,0.97092,0.81597,0.67344,0.39823,1.29495,0.001486,0.001486,0.001486
88,26893.6,0.69711,0.58293,1.19813,0.95373,0.93435,0.97114,0.81672,0.67177,0.39657,1.29318,0.001387,0.001387,0.001387
89,27200.6,0.69749,0.57525,1.19611,0.95624,0.9328,0.97154,0.81728,0.6698,0.39501,1.29102,0.001288,0.001288,0.001288
90,27504.8,0.68889,0.56943,1.19076,0.9579,0.93161,0.97178,0.81831,0.66808,0.3936,1.28929,0.001189,0.001189,0.001189
91,27817.1,0.60656,0.38175,1.18635,0.95837,0.93287,0.97194,0.8193,0.66608,0.39185,1.28725,0.00109,0.00109,0.00109
92,28118.4,0.5892,0.3687,1.1715,0.95677,0.93482,0.97223,0.82048,0.66352,0.3896,1.28471,0.000991,0.000991,0.000991
93,28420.6,0.58387,0.35634,1.16469,0.9582,0.93476,0.97257,0.82182,0.66092,0.38747,1.28213,0.000892,0.000892,0.000892
94,28725.4,0.57854,0.353,1.16067,0.95919,0.93463,0.97286,0.82318,0.65863,0.38529,1.27984,0.000793,0.000793,0.000793
95,29030.4,0.56868,0.34609,1.15327,0.9591,0.936,0.97305,0.82455,0.65586,0.38287,1.27719,0.000694,0.000694,0.000694
96,29337,0.56552,0.34255,1.14971,0.95876,0.93717,0.97346,0.82562,0.65307,0.38067,1.2745,0.000595,0.000595,0.000595
97,29644.8,0.55929,0.33753,1.14535,0.95955,0.93775,0.97374,0.82684,0.65051,0.37816,1.27207,0.000496,0.000496,0.000496
98,29947.1,0.54982,0.32924,1.1359,0.96041,0.93888,0.97415,0.82789,0.648,0.37574,1.26958,0.000397,0.000397,0.000397
99,30255.6,0.54747,0.32697,1.13555,0.95979,0.94015,0.97431,0.82888,0.64549,0.37346,1.26721,0.000298,0.000298,0.000298
100,30563.1,0.54401,0.3231,1.13116,0.96056,0.94037,0.97441,0.82983,0.64308,0.3713,1.26492,0.000199,0.000199,0.000199
